report_id,report_text,specialty
428,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
429,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
430,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
431,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
432,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
433,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
434,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
435,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
436,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
437,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
438,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
439,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
440,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
441,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
442,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
443,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
444,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
445,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
446,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
447,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
448,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
449,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
450,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
451,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
452,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
453,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
454,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
455,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
456,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
457,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
458,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
459,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
460,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
461,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
462,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
463,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
464,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
465,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
466,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
467,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
468,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
469,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
470,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
471,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
472,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
473,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
474,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
475,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
476,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
477,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
478,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
479,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
480,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
481,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
482,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
483,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
484,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
485,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
486,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
487,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
488,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
489,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
490,Patient report indicates findings related to radiology evaluation and treatment.,Radiology
491,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
492,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
493,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
494,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
495,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
496,Patient report indicates findings related to orthopedics evaluation and treatment.,Orthopedics
497,Patient report indicates findings related to neurology evaluation and treatment.,Neurology
498,Patient report indicates findings related to cardiology evaluation and treatment.,Cardiology
499,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
500,Patient report indicates findings related to dermatology evaluation and treatment.,Dermatology
